,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,address2,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url
1,560001,Industrials,1146,"3M India Limited engages in the manufacture and trade of various products for health care, manufacturing, automotive, safety, electronics, energy, commercial solutions, transportation, and design and construction industries in India. The company operates through four segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment offers vinyl, polyester, foil, and specialty industrial tapes and adhesives, such as scotch masking tapes, scotch filament and packaging tapes, functional and decorative graphics, abrasion-resistant films, masking tapes, and other specialty materials. This segment serves industrial, electrical, and safety markets. The Health Care segment provides medical and surgical supplies; medical devices; skin and wound care, as well as infection prevention products and solutions; drug delivery systems; dental and orthodontic products; and food safety products. The Transportation and Electronics segment offers personal protection products, brand and asset protection solutions, border control products, passive fire protection products for industries and commercial establishments, track and trace products, and cleaning and hygiene products for the hospitality industry. The Consumer segment provides home improvement, stationery and office supplies, home care, and consumer health care. This segment also includes retail auto care product lines, such as office supply, stationery, home improvement (do-it-yourself), home care, protective material, consumer retail personal safety, and consumer healthcare products. The company also exports its products. The company was incorporated in 1987 and is based in Bengaluru, India. 3M India Limited operates as a subsidiary of 3M Company.",Bengaluru,91 80 2223 1414,India,[],https://www.3mindia.in,1,WeWork Prestige Central,91 80 2223 1450,Conglomerates,3rd floor 36 Infantry Road Tasker Town,0.0995,0.07111,0.36743,2914648064,0.218,0.08841,3136870912,,none,9920188000,1849205376,,25809.9,-0.144,2.978,0.06745,,,1.48,0.11847,,11867883520,296408000,31526152192,1053.433,INR,2798.463,2.234,,NSI,3M INDIA LTD,3M India Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,3MINDIA.NS,,,finmb_881351,5c0fa4db-c41d-337e-b22d-5a1c081005f0,in_market,,8.856,,89.006,0.12859273,,,,11265100,,,,1778.09,,,,1617148800,0.081590004,2241682944,198.985,,0.22927392,14.51552,0.7648,1680220800,,1632960000,,,2585639,0.476862,279200595968,2,,,,,,,-0.144,9.222537,,,,,,,,,,,24985.55,25000.15,25505.236,,0,,25989.9,,2306,24985.55,25712.7,,25000.15,,2306,,,,,,,24957.15,INR,129.70776,2370,,,,290751119360,,,5036,24957.15,0,0,2370,31000,,,18777,0,False,,0,25989.9,25809.9,https://logo.clearbit.com/3mindia.in
1,560058,Industrials,3255,"ABB India Limited develops and sells products and system solutions to utilities, industries, channel partners, and original equipment manufacturers worldwide. The company operates through Motion, Robotics and Discrete Automation, Electrification, and Industrial Automation segments. The Motion segment produces and provides motors, generators, and drives that provide power, motion, and control for a range of automation applications; and offers solutions and related services. The Robotics and Discrete Automation segment provides value-added solutions in robotics, machine, and factory automation. The Electrification segment offers a range of digital and connected solutions for low- and medium-voltage applications, which include EV infrastructure, solar inverters, modular substations, distribution automation, power protection, wiring accessories, switchgear, enclosures, cabling, sensing, and control products. The Industrial Automation segment provides products, systems, and services, including turnkey engineering, control systems, measurement products, life cycle services, outsourced maintenance, and industry specific products for the optimization of the productivity of industrial processes in oil and gas, power, chemicals and pharmaceuticals, pulp and paper, metals and minerals, marine, and turbocharging industries. The company was formerly known as ABB Limited and changed its name to ABB India Limited in June 2013. The company was incorporated in 1949 and is based in Bengaluru, India. ABB India Limited is a subsidiary of ABB Asea Brown Boveri Ltd.",Bengaluru,91 80 2294 9150,India,[],https://new.abb.com/indian-subcontinent,1,"Plot No. 5 & 6, 2nd Stage",91 80 2294 9148,Specialty Industrial Machinery,Disha - 3rd Floor Peenya Industrial Area IV Peenya,0.07609,0.05955,0.32953998,,0.103,0.06087,4970925056,915,hold,19218900000,,1380,2078.4,0.486,,,25,1385.32,0.981,,2050,31831900160,365700000,65332600832,150.241,INR,308.209,,3.5,NSI,ABB INDIA LTD,ABB India Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,ABB.NS,,,finmb_878520,,in_market,,6.259,,82.256,0.7995584,,35.36,,211908000,,,,175.552,,,,1609372800,0.1616,4011099904,18.35,5,0.22927392,11.839227,0.75,1672444800,,1632960000,,,52436397,0.957249,408890212352,2,,1182988800,5:1,,1618876800,,0.485,6.743953,,3.01,,58.77828,,,,,,,2112.85,2090.3,1703.2397,0.0023664718,0.2643,,2130.5,,175757,2112.85,1981.853,5,2090.3,,175757,,,5,1618876800,,,2064.1,INR,113.2643,54715,,,,440600002560,,,206485,2064.1,0,0,54715,2232,,,1140,0,False,0.0023999999,0,2130.5,2078.4,https://logo.clearbit.com/new.abb.com
1,560 092,Technology,2290,"ABB Power Products and Systems India Limited develops, engineers, manufactures, and sells products, systems, and projects for electricity transmission and related activities in India and internationally. The company's products include a range of high-voltage products, transformers, grid automation and integration products, high-voltage direct current products, and power quality products and systems. The company was incorporated in 2019 and is headquartered in Bengaluru, India. ABB Power Products and Systems India Limited is a subsidiary of ABB Asea Brown Boveri Limited.",Bengaluru,91 80 2204 1800,India,[],https://www.hitachiabbpowergrids.com/in/en,1,Brigade Opus,,Electronic Components,"8th Floor 70/401, Kodigehalli Main Road",0.06734,0.03928,0.39551997,,-0.089,0.04777,2485860096,,none,13705900000,,,2662.15,6.232,,,,,3.457,,,2235800064,339400000,36915499008,52.768,INR,871.654,,,NSI,ABB POWER PRODUCTS,Hitachi Energy India Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,POWERINDIA.NS,,,finmb_605258434,,in_market,,3.004,,44.612,1.1217422,,,,42381700,,,,231.881,,,,1609372800,0.085839994,1450200064,34.242,2,0.22927392,11.480673,0.77023005,1672444800,,1632960000,,,10231173,,110899879936,2,,,,,1621468800,,6.21,3.0563433,,,,,,,,,,,2750.45,2763,1950.6415,0.00072715373,0.0584,,2792.7,,97896,2750.45,2437.512,2,2763,,97896,,,2,1621468800,,,2632.35,INR,77.74516,44993,,,,112826441728,,,58605,2632.35,0,,44993,2855,,,1165.5,0,False,0.0007,,2792.7,2662.15,https://logo.clearbit.com/hitachiabbpowergrids.com
1,400020,Basic Materials,6000,"ACC Limited manufactures and sells cement and ready-mix concrete in India. The company provides ordinary Portland cement; blended cement, including Portland Pozzolana cement, Portland slag cement, and composite cement; gold and silver range of cement; ready mixed concrete value-added products; and bulk cement. It also offers construction chemicals, such as ACC LeakBlock, a polymer-based integral waterproofing compound used in various types of cement mortar, plasters, and concrete; ACC LeakBlock WaterProof Plaster - LB 101, a ready-to-use cementitious waterproof mortar for internal and external plaster applications; and tile adhesives. In addition, the company provides EcoPact, a concrete with lower embodied carbon content for various structural components applications comprising foundations, columns, beams, external or internal walls, driveways, walkways, etc. It distributes its products through a network of dealers, retailers, masons, engineers, and architects, as well as sales platforms. The company was formerly known as The Associated Cement Companies Limited and changed its name to ACC Limited in September 2006. ACC Limited was incorporated in 1936 and is headquartered in Mumbai, India. ACC Limited is a subsidiary of Ambuja Cements Limited.",Mumbai,91 22 4159 4321,India,[],https://www.acclimited.com,1,Cement House,91 22 6631 7458,Building Materials,"121, Maharshi Karve Road",0.18988001,0.12785,0.62436,,0.06,0.15159,30515300352,2000,buy,85683400000,,2550,2262.2,0.237,,,39,2537.23,0.729,,2936,58472001536,990700032,160706297856,311.329,INR,855.79,,1.9,NSI,ACC LIMITED,ACC Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,ACC.NS,,,finmb_873802,,in_market,,2.286,,12.041,0.3623197,,120.23,,187787008,,,,723.193,,,,1609372800,0.22547,20546000896,109.114,14,0.22927392,3.1280723,0.57005,1672444800,,1632960000,,,71867002,0.684442,367424274432,2,,,,,1617062400,,0.237,2.6434045,,1.39,,18.815603,,,,,,,2264.65,2268.1,2140.6929,0.006181971,0.1283,,2304.55,,329486,2264.65,2340.37,14,2268.1,,329486,,,14,1617062400,,,2250.1,INR,20.732445,438910,,,,424811757568,,,461904,2250.1,0,0,438910,2589,,,1485,0,False,0.0062,0,2304.55,2262.2,https://logo.clearbit.com/acclimited.com
1,380054,Industrials,1285,"AIA Engineering Limited designs, develops, manufactures, installs, and servicing high chromium wear, corrosion, and abrasion resistant castings in India and internationally. The company offers grinding media; shell liners; and diaphragms, such as partition walls, discharge diaphragms, drying chamber diaphragms, inlet/outlet headliners, and dopple rotator diaphragms for tube mill applications; and grinding tables and rolls for vertical mill applications. It also provides castings for preheaters, kilns, and coolers; and wear parts for cone crushers, hammer crushers, impellor crushers, and vertical shaft impact crushers. In addition, the company offers rod mill internal products; and wear components for quarrying applications. Further, it provides tube mill internals, vertical mill parts, and high-performance milling systems; and installation and commissioning supervision, and mill optimization technical services for the power industry, as well as wear components for the aggregates industry. Additionally, the company offers mill audit, turnkey installation and commissioning, stock assessment and management, and performance monitoring services. Its products are used in cement, mining, and thermal power generation industries. AIA Engineering Limited was founded in 1979 and is based in Ahmedabad, India.",Ahmedabad,91 79 6604 7800,India,[],https://www.aiaengineering.com,1,"11-12, Sigma Corporates",91 79 6604 7848,Specialty Industrial Machinery,"B/h. HOF Showroom Off. S.G Highway Sindhu Bhavan Road, Bodakdev",0.21102,0.1821,0.57966,2922734080,0.192,0.1842,6718639104,1550,buy,17194300000,6883375,2194,1840.55,-0.044,6.991,0.07682,14,2128.5,5.508,0.13783,2420,21483937792,2450648064,31839342592,227.813,INR,337.562,5.087,2.4,NSI,AIA ENGINEERING,AIA Engineering Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,AIAENG.NS,,,finmb_24629985,,in_market,,4.857,,23.015,-0.11146784,,74.88,,94320400,,,,470.875,,,,1617148800,0.34285998,5798048768,61.471,9,0.22927392,3.908787,0.58556,1680220800,,1632960000,,,29309158,0.530189,154630471680,2,,1223856000,5:1,,1629936000,,-0.044,5.452419,,0.46,,24.579996,,,,,,,1862.3,1864.95,1950.3955,0.0048327334,0.1464,,1888,,43289,1862.3,1898.85,9,1864.95,,43289,,,9,1629936000,,,1825,INR,29.941761,29632,,,,173601423360,,,67700,1825,0,0,29632,2234,,,1781,0,False,0.0047999998,0,1888,1840.55,https://logo.clearbit.com/aiaengineering.com
1,201010,Basic Materials,1957,"APL Apollo Tubes Limited manufactures and sells structural steel tubes and pipes in India. The company offers structural tubes for automotive, machinery, furniture etc. applications; pre galvanized sections of square, rectangular, and circular tubes used for roofing structure; galvanized iron products for industrial and agricultural applications; black round tubes for use in plumbing systems; oval, octagon, and elliptical tubes; ready-made chaukhat, and door and fencing solutions; and triple coated in-line galvanizing tubes, designer galvanized tubes, hybrid tubes, and narrow sections. It also exports its products to approximately 20 countries worldwide. The company was formerly known as Bihar Tubes Limited and changed its name to APL Apollo Tubes Limited in 2010. APL Apollo Tubes Limited was incorporated in 1986 and is headquartered in Ghaziabad, India.",Ghaziabad,91 12 0404 1400,India,[],https://www.aplapollo.com,1,"36, Kaushambi",91 12 0404 1444,Steel,Near Anand Vihar Terminal,0.08453,0.049039997,0.15539,5876499968,0.394,0.07488,9134000128,,none,13249500000,308637504,,925.35,0.424,1.254,0.14259,,,25.705,0.32414,,4202400000,5524100096,108060999680,16.835,INR,432.8,0.458,,NSI,APL APOLLO TUBES,APL Apollo Tubes Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,APLAPOLLO.NS,,,finmb_20459294,,in_market,,2.166,,25.624,1.3919816,,,,250106000,,,,79.12,,,,1617148800,0.34263,5299100160,21.184,1.4,0.22927392,11.695525,0.39539,1680220800,,1632960000,,,128983528,1.114147,234048061440,2,,1631750400,2:1,,1568851200,,0.425,2.1419435,,,,,,,,,,,946.55,953,769.46576,0.014790555,0,,955,,457144,946.55,868.888,14,953,,457144,,,,1568851200,,,916.05,INR,43.68155,202752,,,,231460552704,,,667637,916.05,0,0,202752,1044.7,,,325.125,0,False,,0,955,925.35,https://logo.clearbit.com/aplapollo.com
1,,,,,,,,,,1,,,,,,,,,,,,585,buy,31169298000,,710,1136.35,,,,11,726.09,,,875,,,,,INR,,,2.3,NSI,AU SMALL FINANCE B,AU Small Finance Bank Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,AUBANK.NS,,,finmb_45565140,,in_market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,53.576145,,,,,,,1131.45,1132,1148.2128,0.0006628663,,,1152.95,,750267,1131.45,1195.913,0.75,1132,,750267,,,,,,,1092.5,INR,31.556513,737148,,,,356434345984,,,1109327,1092.5,0,0,737148,1389.85,,,720.45,0,False,,0,1152.95,1136.35,
1,400 022,Healthcare,1620,"Aarti Drugs Limited, through its subsidiaries, engages in the pharmaceuticals business in India and internationally. The company offers active pharmaceutical ingredients in various therapeutic categories, including anti-inflammatory, cardioprotectants, antidiarrhoeals, antifungals, antiarthritis/osteoporosis, antibiotics, antidiabetics, Alzheimer's treatment, sedatives, vitamins, and alcoholism treatment; and pharmaceutical intermediate products comprising tinidazole, celecoxib, ciprofloxacin, clopidogrel, diclofenac, ketoconazole, nimesulide, and raloxifene. It also offers specialty chemical products, such as benzene sulphonamide, benzene sulphonic acid, benzene sulphonic acid methyl ester, benzene sulphonyl chloride, cipro Q acid, levofloxacin Q acid, methyl nicotinate, N-methyl methane sulphonamide, diphenyl sulphone, norofloxacin Q acid, ofloxacin Q acid, ortho para toluene sulphonamide, ortho/para toluene sulphonic acid methyl ester, para chloro benzene sulphonamide, para chloro benzene sulphonyl chloride, para toluene sulphonamide, para toluene sulphonic acid methyl ester, para toluene sulphonyl chloride, and sodium benezene sulfinate, as well as para toluene sulphonyl hydrazide, sodium salt, benzyl nicotinate, bisphenol Â C, bisphenol Â C(chloride), ethyl nicotinate, ethyl para toluene sulphonate, and N-methyl imidazole. In addition, the company's products under development comprise Acamprosate for alcoholism; Dabigatran for use as an anticoagulant; Sevelamer for antihyperphosphatemia; Colsevelam for anti-cholestrol treatment; Drondarone and Olmesartan for the treatment of cardiovascular diseases; Valasartan for use as cardiprotectant; and Sitagliptin for use as an antidiabetic. Additionally, it offers contract manufacturing services. The company was incorporated in 1984 and is headquartered in Mumbai, India.",Mumbai,91 22 2401 9025,India,[],https://www.aartidrugs.co.in,1,Mahendra Industrial Estate,91 22 2407 3462,Drug Manufacturers—Specialty & Generic,"Ground Floor Road No. 29, Plot No. 109D Sion (East)",0.1535,0.09632,0.34022,1321697024,0.003,0.13287,3364122880,,none,8229129000,-357841120,,522.35,-0.43,1.52,0.10012,,,50.493,0.24192,,199100000,4702300160,21915797504,2.15,INR,235.907,0.828,,NSI,AARTI DRUGS LTD,Aarti Drugs Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,AARTIDRUGS.NS,,,finmb_9900311,,in_market,,2.413,,15.717,-0.33967513,,,,92600000,,,,100.572,,,,1617148800,0.028870001,2110934016,22.707,2.5,0.22927392,5.1937914,0.66822,1680220800,,1632960000,,,28559692,1.050683,52872491008,2,,1601424000,4:1,,1604361600,,-0.434,2.2070658,,,,,,,,,,,512.55,514,666.64,0,0.1101,,526,,231094,512.55,579.145,0,514,,231094,,,,1604361600,,,513.45,INR,23.003918,173856,,,,48369606656,,,207356,513.45,0,0,173856,841.8,,,484,0,False,,0,526,522.35,https://logo.clearbit.com/aartidrugs.co.in
1,400080,Basic Materials,7000,"Aarti Industries Limited manufactures and sells specialty chemicals and pharmaceuticals in India. It offers di chloro benzene, nitro chloro and nitro benzene, nitro toluenes, sulphur, and other organic and inorganic products that are used in the manufacture of intermediates with applications in agrochemicals, pharmaceuticals, polymer additives, fuel additives, FMCG, dyes, pigments, paints, printing inks, rubber chemicals, resins, and other speciality chemical applications. The company also provides active pharmaceutical ingredients, which have applications in anti-hypertensive, anti asthamatic, anti-cancer, anti thalassaemic, analgesic, ophthalmologic, and calcimimetics; central nervous system agents; and skin care and decongestant products. In addition, it offers intermediates; and xanthine derivatives, such as caffeine anhydrous, theophylline, aminophylline, acephylline piperazine, choline theophylline, doxofylline, DMAU, and theobromine derivatives, as well as contract manufacturing and research services. The company also exports its products to approximately 60 countries in North America, Europe, China, Japan, and internationally. Aarti Industries Limited was incorporated in 1984 and is headquartered in Mumbai, India.",Mumbai,91 22 6797 6666,India,[],https://www.aarti-industries.com,1,"71, Udyog Kshetra",91 22 2565 3234,Specialty Chemicals,"2nd Floor Mulund-Goregaon Link Road, L.B.S. Marg Salpa Devi Pada, Mulund (West)",0.22086,0.12201,0.49661,6326099968,0.323,0.17196,11626999808,,none,22630300000,-5036037632,,959,0.207,1.404,0.07247,,,39.009,0.15639,,3992000000,19498700800,52644700160,11.016,INR,148.108,0.695,,NSI,AARTI IND LTD,Aarti Industries Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,AARTIIND.NS,,,finmb_9454685,,in_market,,6.896,,31.222,0.5385232,,,,362504000,,,,137.922,,,,1617148800,0.20886,6423399936,18.071,1,0.22927392,6.9532056,0.4525,1680220800,,1632960000,,,198138245,0.630674,363022352384,2,,1624320000,2:1,,1636502400,,0.256,6.6035395,,,,,,,,,,,977.2,973,868.08777,0.0025583298,0.1926,,983,,860597,977.2,993.329,2.5,973,,860597,,,3.25,1636502400,,,955.55,INR,53.068455,761110,,,,347641348096,,,1098533,955.55,0,0,761110,1168,,,536.275,0,False,0.0033000002,0,983,959,https://logo.clearbit.com/aarti-industries.com
1,302020,Financial Services,4336,"Aavas Financiers Limited provides housing loans to customers belonging to low- and middle-income self-employed and salaried customers in semi-urban and rural areas in India. The company offers home loans for flats, houses, and bungalows, as well as resale properties; land purchase and construction loans, including finance for self-construction of residential house; and home improvement loans, which include loans for tiling or flooring, plaster, painting, etc. It also provides home equity loans; and micro, small, and medium enterprise loans for business expansion, purchase of equipment, working capital, etc., as well as home loan balance transfer and emergency credit line guarantee scheme products. As of March 31, 2021, it operated through 280 branches covering in 11 states, including Rajasthan, Maharashtra, Gujarat, Madhya Pradesh, Haryana, Uttar Pradesh, Chhattisgarh, Delhi, Punjab, Uttarakhand, and Himachal Pradesh. The company was formerly known as AU Housing Finance Limited and changed its name to Aavas Financiers Limited in February 2017. Aavas Financiers Limited was incorporated in 2011 and is based in Jaipur, India.",Jaipur,91 14 1661 8800,India,[],https://www.aavas.in,1,"201-202, Southend Square",91 14 1661 8861,Mortgage Finance,2nd Floor Mansarover Industrial Area,0,0.43887,0.98794,-11668934656,0.342,0.5377,,1550,hold,6388753000,,2668,2776.9,0.388,430.942,0.03556,11,2686.91,270.272,0.13524,3500,12232197120,69416312832,7379504128,155.591,INR,94.011,430.13,2.6,NSI,AAVAS FINANCIERS L,Aavas Financiers Limited,Asia/Kolkata,IST,False,19800000,,EQUITY,AAVAS.NS,,,finmb_244510356,,in_market,,37.333,,,0.6482564,,56.57,,78931904,,,,326.692,,,,1617148800,0.48916999,3238617088,40.904,,0.22927392,8.500055,0.30791,1680220800,,1632960000,,,37629661,0.883303,275498106880,2,,,,,,,0.392,29.736198,,,,49.087852,,,,,,,2809.05,2819,2518.4268,,0,,2821.95,,52525,2809.05,2754.77,,2819,,52525,,,,,,,2760.1,INR,67.88822,22829,,,,219438399488,,,70323,2760.1,0,0,22829,3074.35,,,1590,0,False,,0,2821.95,2776.9,https://logo.clearbit.com/aavas.in
